id	document_id	sentence_nr	content	code	title/text	curated/single	dataset	url
15659	M1453	1	Fahrweg /-bereich für Fahrradfahrer	non-arg	title	curated	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/fahrweg-bereich-fuer-fahrradfahrer
15660	M1453	2	Die Steinstraße ist in Moers wohl die durch Fußgänger meist frequentierteste Straße.	premise	text	curated	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/fahrweg-bereich-fuer-fahrradfahrer
15661	M1453	3	Richtig, denn die Straße befindet sich in einer Fußgängerzone.	premise	text	curated	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/fahrweg-bereich-fuer-fahrradfahrer
15662	M1453	4	Häufig sind dort aber auch Fahrradfahrer unterwegs, die ihre Erledigungen machen möchten.	premise	text	curated	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/fahrweg-bereich-fuer-fahrradfahrer
15663	M1453	5	Das behindert die Fußgänger, verstehe aber auch das Bedürfnis, dort mit dem Fahrrad entlang zu fahren.	premise	text	curated	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/fahrweg-bereich-fuer-fahrradfahrer
15664	M1453	6	Warum nicht eine Art Radweg mit andersfarbigem Pflaster einrichten?	mpos	text	curated	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/fahrweg-bereich-fuer-fahrradfahrer
15665	M1454	1	Unebene Fahrbahn	premise	title	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/unebene-fahrbahn
15666	M1454	2	Im Bereich der Schranke ist entlang der Bahnschienen der Fahrbahnbelag an einigen Stellen aufgequollen.	premise	text	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/unebene-fahrbahn
15667	M1454	3	Das ist für Autos kein Problem, für Radfahrer aber sehr unangenehm und eine große Gefahrenquelle.	premise	text	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/unebene-fahrbahn
15668	M1455	1	Radweg / Wanderweg kreuzt normale Strasse (Hülskensweg)	premise	title	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/radweg-wanderweg-kreuzt-normale-strasse-huelskensweg
15669	M1455	2	Hier wäre ein Zebrastreifen, oder zumindest eine Strichelung der Fahrbahn nötig, da hier Autofahrer nicht gross drauf achten, dass hier ein Radweg quert.	mpos+premise	text	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/radweg-wanderweg-kreuzt-normale-strasse-huelskensweg
15670	M1455	3	Noch besser wären Trempel damit die 30kmh dort auch eingehalten werden	mpos	text	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/radweg-wanderweg-kreuzt-normale-strasse-huelskensweg
15671	M1456	1	Radweg zugewachsen	premise	title	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/radweg-zugewachsen
15672	M1456	2	Der Radweg von Kapellen Richtung Niep ist regelmäßig im Sommer zugewachsen, teilweise mit Brennnesseln.	premise	text	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/radweg-zugewachsen
15673	M1456	3	Im Bereich Silbersee wachsen die Hecken in den Radweg hinein so das es Stellenweise schwierig ist das sich entgegen kommende Radfahrer passieren können.	premise	text	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/radweg-zugewachsen
15674	M1457	1	Fehlenden Radweg	premise	title	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/fehlenden-radweg
15675	M1457	2	An der Bahnhofstraße von Kapellen Richtung Krefeld Traar gibt es keinen Radweg.	premise	text	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/fehlenden-radweg
15676	M1458	1	Sperrgitter zu eng für Fahrradanhänger	premise	title	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/sperrgitter-zu-eng-fuer-fahrradanhaenger
15677	M1458	2	Das Sperrgitter ist zu eng führ Fahrräder mit z.B. Kinderanhänger.	premise	text	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/sperrgitter-zu-eng-fuer-fahrradanhaenger
15678	M1459	1	L137 Moers Schwafheim Düsseldorfer Straße Richtung Rumeln-Kaldenhausen	non-arg	title	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/l137-moers-schwafheim-duesseldorfer-strasse-richtung-rumeln-kaldenhausen
15679	M1459	2	Hier wäre es nett, wenn dort öfters die Ränder gemäht werden.	mpos	text	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/l137-moers-schwafheim-duesseldorfer-strasse-richtung-rumeln-kaldenhausen
15680	M1459	3	Hier gibt es Probleme wenn sich zwei Radfahrer begegnen.	premise	text	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/l137-moers-schwafheim-duesseldorfer-strasse-richtung-rumeln-kaldenhausen
15681	M1459	4	Zur Zeit ist der Radweg zugewuchert.	premise	text	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/l137-moers-schwafheim-duesseldorfer-strasse-richtung-rumeln-kaldenhausen
15682	M1459	5	Brennesseln + Sträucher in Kopfhöhe.	premise	text	single	CD_M	https://www.raddialog.moers.de/dialoge/moerser-raddialog/l137-moers-schwafheim-duesseldorfer-strasse-richtung-rumeln-kaldenhausen
