id	document_id	sentence_nr	content	code	title/text	curated/single	dataset
10442	Boff10004_1	1	Geradlinige Wegführung!	non-arg	text	single	CQ_B
10443	Boff10004_1	2	An Ampelübergängen kreuzt sich der Rad- & Fußgängerweg.	premise	text	single	CQ_B
10444	Boff10004_1	3	Das gibt oft gefährliche Situationen	premise	text	single	CQ_B
10445	Boff10004_2	1	Grünanlage sollte mit Erde aufgefüllt werden + kompl. Bepflanzung so, daß keine Menschenansammlung stattfindet.	mpos	text	single	CQ_B
10446	Boff10004_2	2	Wir hätten mehr Ruhe + Sicherheit!	non-arg	text	single	CQ_B
10447	Boff10004_2	3	Z.Zt. treffen sich alle Nationalitäten waschen Kleidungsstücke + Füße am Brunnen, füllen Flaschen auf und diehlen mit Drogen	premise	text	single	CQ_B
10448	Boff10004_3	1	Sanierung der Schule Gesamtschule	non-arg	text	single	CQ_B
10449	Boff10005_1	1	Radfahrern Verkehrsregeln vermitteln, von Bürgersteigen verbannen	mpos	text	single	CQ_B
10450	Boff10011_1	1	Einrichtung eines Radweges	mpos	text	single	CQ_B
10451	Boff10011_2	1	Überprüfung aller Kreisverkehre auf Fahrradfreundlichkeit	mpos	text	single	CQ_B
10452	Boff10011_3	1	Breitere Radwege	mpos	text	single	CQ_B
10453	Boff10012_1	1	Längere Grünphasen als Fußgänger Ampeln	mpos	text	single	CQ_B
10454	Boff1010_1	1	Wenn ich den Radfahrweg Kölnstr. für auf dem Nordfriedhof bei grün überquere, kommen mir Radfahrer von rechts mit sehr hohem Tempo vorbeigefahren.	premise	text	single	CQ_B
10455	Boff1010_1	2	Deshalb finde ich es für notwendig, daß Radfahrer, wie bei PKW's, bei Rot hier anhalten müßten, da alte Person verletzt werden	mpos+premise	text	single	CQ_B
10456	Boff1010_2	1	Das gleiche zählt auch auf der Kölnstr., wenn ich die Straße überqueren will zum Haupteingang Nordfriedhof.	premise	text	single	CQ_B
10457	Boff1010_2	2	Deshalb Ampelschaltung	mpos	text	single	CQ_B
10458	Boff1011_1	1	Radfahrweg mitten auf der Straße nicht gut!	premise	text	single	CQ_B
10459	Boff1015_1	1	Abgetrennte Radweg	mpos	text	single	CQ_B
10460	Boff103_1	1	Mehr Abstellmöglichkeiten explizit für Fahrräder zum Festketten	mpos	text	single	CQ_B
10461	Boff104_1	1	Halteverbot auf Radwegen	mpos	text	single	CQ_B
10462	Boff1055_1	1	unebener Straßenbelag	premise	text	single	CQ_B
10463	Boff1055_2	1	Mehr Sicherheit für Fahrradfahrer	mpos	text	single	CQ_B
10464	Boff1095_1	1	Radweg Richtung Bonn Innenstadt	non-arg	text	single	CQ_B
10465	Boff1097_1	1	Ampelschaltungen verbessern	mpos	text	single	CQ_B
10466	Boff1097_2	1	z.B. legals Rechtsabbiegen bei rot oder extra Linksabbiegerstreifen	mpos	text	single	CQ_B
10467	Boff1106_1	1	Das Stadtzentrum ist für Radfahrer schlecht zu befahren.	premise	text	single	CQ_B
10468	Boff1106_1	2	Um zum Bahnhof zu gelangen, müssen große Umwege gefahren werden	premise	text	single	CQ_B
10469	Boff1112_1	1	eigene Radwege oder Mitbenutzung der Straße statt geteiltem Rad- und Gehweg: Dieser wirkt breit, also parken die Autos drauf, und Fußgänger stehen immer im Weg, sodass man extrem langsam ist	mpos+premise	text	single	CQ_B
10470	Boff1112_2	1	für Fahrräder akzeptable Baumaßnahmen: Kein erzwungenes Teilen eines Gehwegs von Fußgängern und Radfahrern beider Richtungen, 5-10 Min. zusätzlich (mit der doppelten Straßenüberquerung)	mpos+premise	text	single	CQ_B
10471	Boff1112_3	1	Sichere, vlt. überdachte kostenlose Fahrradabstellmöglichkeiten am Hbf	mpos	text	single	CQ_B
10472	Boff1120_1	1	Fahrbahn glatt gestalten	mpos	text	single	CQ_B
10473	Boff1129_2	1	Verkehrsführung, Straße ist Einbahnstraße für Autofahrer mit Überholverbot.	premise	text	single	CQ_B
10474	Boff1129_2	2	Rad- und Bahn können Strecke in beide Richtunge nutzen.	premise	text	single	CQ_B
10475	Boff1129_2	3	Durch verbotenes Überholen Unfallgefahr	premise	text	single	CQ_B
10476	Boff1129_3	1	Radweg ausbessern/ sanieren und eindeutige Radwegeführung.	mpos	text	single	CQ_B
10477	Boff1129_3	2	Unklar, ob Radweg am Ufer noch genutzt werden darf oder Straße	premise	text	single	CQ_B
10478	Boff1140_1	1	mehr seperate Radwege	mpos	text	single	CQ_B
10479	Boff1159_1	1	Bessere Möglichkeit zum Fahrrad anschließen (also an Rahmen), nicht nur Ständer, die das Vorderrad anschließbar machen	mpos+premise	text	single	CQ_B
10480	Boff1159_2	1	Im Bonner Norden sind die überwiegenden Fahrradstrassen auf Kopfsteinpflaster.	premise	text	single	CQ_B
10481	Boff1159_2	2	Sie sollten fahrradgerecht asphaltiert sein	mpos	text	single	CQ_B
10482	Boff1159_3	1	überall in Bonn sind Fahrradwege durch Baumwurzeln uneben u. gefährden dadurch die Radfahrer.	premise	text	single	CQ_B
10483	Boff1159_3	2	Sanierungsbedarf ist vor allem im Bonner Norden nötig	premise	text	single	CQ_B
10484	Boff1159_4	1	Unmögliche Verkehrsführung am Kreisverkehr	premise	text	single	CQ_B
10485	Boff1164_1	1	Ausleuchtung des Fahrradweges	mpos	text	single	CQ_B
10486	Boff1166_1	1	fehlende Abstellmöglichkeiten	premise	text	single	CQ_B
10487	Boff1200_1	1	Den Radweg ausbauen (hört einfach auf)	mpos+premise	text	single	CQ_B
10488	Boff1200_2	1	Den Radweg am Rhein-Ufer verbreiten.	mpos	text	single	CQ_B
10489	Boff1200_2	2	Dort halten Touristenbusse, an der Anlegestelle, es gibt für Radfahrer keine Ausweichmöglichkeit wg. Fußgänger (Hecke)	premise	text	single	CQ_B
10490	Boff1200_3	1	Der Radwegbelag ist beschädigt, von Baumwurzeln aufgehoben, Reparatur erforderlich!	mpos+premise	text	single	CQ_B
10491	Boff1210_1	1	Bessere + größere + mehr Fahrradständer	mpos	text	single	CQ_B
10492	Boff1216_1	1	Fahrradstraße Breite Straße Belag für Fahrräder total ungeeignet.	premise	text	single	CQ_B
10493	Boff1216_1	2	Pflastersteine schütteln einen durch, Absteigen bei Regen gefährlich, da Rutschgefahr	premise	text	single	CQ_B
10494	Boff1216_2	1	Radweg ab Arminiusstraße in Richtung Bonn sollte beidseitig befahrbar sein, sonst Riesenumweg um auf die andere Straßenseite zu kommen.	mpos+premise	text	single	CQ_B
10495	Boff1217_1	1	Eindeutigere Verkehrsführung	mpos	text	single	CQ_B
10496	Boff1235_1	1	Radwege besser markieren	mpos	text	single	CQ_B
10497	Boff1237_1	1	Der vorhandene Radweg wurde für die Abstellung von Altpapiertonnen gesperrt- das muss wieder freigegeben werden	mpos+premise	text	single	CQ_B
10498	Boff1241_1	1	mehr Abstellanlagen	mpos	text	single	CQ_B
10499	Boff1247_1	1	Radwege generell (Zustand, Belag)	non-arg	text	single	CQ_B
10500	Boff1247_2	1	Bessere Trennung	mpos	text	single	CQ_B
10501	Boff1249_1	1	Getrennte eigene Radspur für die Sicherheit	mpos	text	single	CQ_B
10502	Boff1249_2	1	ungünstiger zu schmaler Radweg mit Gegenverkehr	premise	text	single	CQ_B
10503	Boff1249_3	1	oft sind es keine eigenen Radwege, sondern Autos nutzen die Spur mit	premise	text	single	CQ_B
10504	Boff1267_1	1	Durchgängige klar markierte Radwege, sodass jeder Ort in Bonn problemlos mit dem Rad erreichbar IST, ohne dass man immer wieder an Straßenstrecken kommt, an denen für Fahrradfahrer kein Platz ist u. auch kein Platz gemacht wird	mpos+premise	text	single	CQ_B
10505	Boff1267_2	1	Strafen für Autofahrer, die den Fahrradweg blockieren (man kommt auf Hauptstraßen grundsätzlich weg. der Autos nicht vorwärts	mpos+premise	text	single	CQ_B
10506	Boff1267_3	1	Zentrale überdachte Abstellflächen	mpos	text	single	CQ_B
10507	Boff126_1	1	Mehr Radwege/ Mehr Vernetzung der Fahrradwege (Beispiel: Amsterdam!)	mpos	text	single	CQ_B
10508	Boff126_2	1	Fahrwegreinigung	mpos	text	single	CQ_B
10509	Boff126_3	1	Fahrradweg zu eng am Autoverkehr	premise	text	single	CQ_B
10510	Boff1296_1	1	Fahrradweg von der Straße abgeteilt, sehr gefährlich	premise	text	single	CQ_B
10511	Boff1304_1	1	das Befahren der Kölnstr. ist ab Kreuzung in Höhe Kaiser-Karl-Ring-Kölnstraße gefährlich, da die Schienen sehr nahe am Radweg sind	premise	text	single	CQ_B
10512	Boff131_1	1	mehr Radwege entlang der Hauptstraßenverkehrsführungen, aber auf eigener Trasse	mpos	text	single	CQ_B
10513	Boff1325_1	1	Aufhören auf bereits bestehenden Radwegen die Markierungen zu entfernen, weil eine Instandhaltung zu teuer ist	mpos	text	single	CQ_B
10514	Boff1325_2	1	Randbegrünung an Kreuzungen niedrig halten oder ganz entfernen oder durch Bodendecker ersetzen.	mpos	text	single	CQ_B
10515	Boff1325_2	2	Man wird schnell übersehen	premise	text	single	CQ_B
10516	Boff1326_1	1	Im Innenstadt Ring durchgehend eigene Fahrspur für Fahrräder	mpos	text	single	CQ_B
10517	Boff1326_2	1	Fahrradschnellwege für Pendler am Rhein entlang von Ost nach West Bornheim, Alfter, Bonn	mpos	text	single	CQ_B
10518	Boff1326_3	1	Rad und Fußgänger tauglicher Ausbau Kreuzung Ennemomser Str./ am Probsthof	mpos	text	single	CQ_B
10519	Boff1333_1	1	mehr Radwege	mpos	text	single	CQ_B
10520	Boff1333_2	1	weniger Radwege auf Straßen, sondern abgetrennt davon	mpos	text	single	CQ_B
10521	Boff1333_3	1	Radwege besser pflegen	mpos	text	single	CQ_B
10522	Boff1359_1	1	Beim Ausbau neuer Landstraßen werden Radwege rechts und links nicht angelegt!	premise	text	single	CQ_B
10523	Boff1359_1	2	Das sollte man ändern!	mpos	text	single	CQ_B
10524	Boff1373_1	1	Abstellanlagen (hat sich schon enorm verbessert an vielen Stellen)	mpos+premise	text	single	CQ_B
10525	Boff1373_2	1	breite, ebenere Radwege mit auffälliger Markierung möglichst nicht neben den Parkreihen für Autos (Gefahr der aufgehenden Autotüren)	mpos+premise	text	single	CQ_B
10526	Boff1383_1	1	Von Radfahrer wird so gut wie nie, die Klingel genutzt.	premise	text	single	CQ_B
10527	Boff1388_1	1	Ampelschaltungen - Radfahrer dürfen 2 Me. vor den Autos losfahre	premise	text	single	CQ_B
10528	Boff1388_2	1	Fahrradwegenetz ausbauen, keine plötzlich endenden/ beginnenden Radwege	mpos	text	single	CQ_B
